sample_id,file_path,language,smell_type,entity_name,ground_truth
MLCQ_5798489_FeatureEnvy,tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java,java,FeatureEnvy,Html5MarkupModel,0
MLCQ_5798489_LongMethod,tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java,java,LongMethod,Html5MarkupModel,0
MLCQ_5800930_LongMethod,plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java,java,LongMethod,getSize,0
MLCQ_5800930_FeatureEnvy,plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java,java,FeatureEnvy,getSize,0
MLCQ_5812130_LargeClass,gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/step/util/event/Event.java,java,LargeClass,ElementPropertyChangedEvent,0
MLCQ_5812130_DataClass,gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/step/util/event/Event.java,java,DataClass,ElementPropertyChangedEvent,0
MLCQ_5809960_FeatureEnvy,gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/dsl/graph/GraphTraversalSource.java,java,FeatureEnvy,withSideEffect,0
MLCQ_5809960_LongMethod,gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/dsl/graph/GraphTraversalSource.java,java,LongMethod,withSideEffect,0
MLCQ_5822090_DataClass,ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java,java,DataClass,TrimAction,0
MLCQ_5822090_LargeClass,ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java,java,LargeClass,TrimAction,1
MLCQ_5828765_LongMethod,persistence-elasticsearch/core/src/main/java/org/apache/unomi/persistence/elasticsearch/ElasticSearchPersistenceServiceImpl.java,java,LongMethod,getPropertyMapping,0
MLCQ_5828765_FeatureEnvy,persistence-elasticsearch/core/src/main/java/org/apache/unomi/persistence/elasticsearch/ElasticSearchPersistenceServiceImpl.java,java,FeatureEnvy,getPropertyMapping,0
MLCQ_5828468_LargeClass,extensions/unomi-mailchimp/services/src/main/java/org/apache/unomi/mailchimp/services/internal/MailChimpServiceImpl.java,java,LargeClass,MailChimpServiceImpl,1
MLCQ_5828468_DataClass,extensions/unomi-mailchimp/services/src/main/java/org/apache/unomi/mailchimp/services/internal/MailChimpServiceImpl.java,java,DataClass,MailChimpServiceImpl,0
MLCQ_5839091_LargeClass,java/org/apache/catalina/valves/AbstractAccessLogValve.java,java,LargeClass,SessionAttributeElement,0
MLCQ_5839091_DataClass,java/org/apache/catalina/valves/AbstractAccessLogValve.java,java,DataClass,SessionAttributeElement,0
MLCQ_5839770_LargeClass,java/org/apache/catalina/tribes/group/interceptors/EncryptInterceptor.java,java,LargeClass,ChannelConfigException,0
MLCQ_5839770_DataClass,java/org/apache/catalina/tribes/group/interceptors/EncryptInterceptor.java,java,DataClass,ChannelConfigException,0
MLCQ_5827650_DataClass,ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java,java,DataClass,DocumentTableLabelProvider,0
MLCQ_5827650_LargeClass,ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java,java,LargeClass,DocumentTableLabelProvider,0
MLCQ_5841731_LongMethod,java/org/apache/catalina/startup/VersionLoggerListener.java,java,LongMethod,setLogArgs,0
MLCQ_5841731_FeatureEnvy,java/org/apache/catalina/startup/VersionLoggerListener.java,java,FeatureEnvy,setLogArgs,0
MLCQ_5840527_FeatureEnvy,java/org/apache/el/parser/ELParser.java,java,FeatureEnvy,DynamicExpression,0
MLCQ_5840527_LongMethod,java/org/apache/el/parser/ELParser.java,java,LongMethod,DynamicExpression,1
MLCQ_5839532_FeatureEnvy,java/org/apache/tomcat/util/net/SSLHostConfig.java,java,FeatureEnvy,adjustRelativePath,0
MLCQ_5839532_LongMethod,java/org/apache/tomcat/util/net/SSLHostConfig.java,java,LongMethod,adjustRelativePath,0
MLCQ_5855407_LargeClass,java/org/apache/tomcat/dbcp/dbcp2/managed/XAConnectionFactory.java,java,LargeClass,XAConnectionFactory,0
MLCQ_5855407_DataClass,java/org/apache/tomcat/dbcp/dbcp2/managed/XAConnectionFactory.java,java,DataClass,XAConnectionFactory,0
MLCQ_5839980_FeatureEnvy,java/org/apache/tomcat/util/descriptor/web/ContextResourceLink.java,java,FeatureEnvy,equals,0
MLCQ_5839980_LongMethod,java/org/apache/tomcat/util/descriptor/web/ContextResourceLink.java,java,LongMethod,equals,0
MLCQ_5855589_LongMethod,java/org/apache/catalina/ha/session/DeltaSession.java,java,LongMethod,endAccess,0
MLCQ_5855589_FeatureEnvy,java/org/apache/catalina/ha/session/DeltaSession.java,java,FeatureEnvy,endAccess,0
MLCQ_5855387_LongMethod,java/org/apache/tomcat/dbcp/dbcp2/datasources/PerUserPoolDataSource.java,java,LongMethod,setPerUserTestWhileIdle,0
MLCQ_5855387_FeatureEnvy,java/org/apache/tomcat/dbcp/dbcp2/datasources/PerUserPoolDataSource.java,java,FeatureEnvy,setPerUserTestWhileIdle,0
MLCQ_5857311_LongMethod,uimaj-tools/src/main/java/org/apache/uima/tools/viewer/CasTreeViewer.java,java,LongMethod,getText,0
MLCQ_5857311_FeatureEnvy,uimaj-tools/src/main/java/org/apache/uima/tools/viewer/CasTreeViewer.java,java,FeatureEnvy,getText,0
MLCQ_5857044_LargeClass,uimaj-tools/src/main/java/org/apache/uima/tools/cvd/control/FileSaveEventHandler.java,java,LargeClass,FileSaveEventHandler,0
MLCQ_5857044_DataClass,uimaj-tools/src/main/java/org/apache/uima/tools/cvd/control/FileSaveEventHandler.java,java,DataClass,FileSaveEventHandler,0
MLCQ_5858827_LongMethod,velocity-engine-core/src/main/java/org/apache/velocity/util/introspection/DeprecatedCheckUberspector.java,java,LongMethod,init,0
MLCQ_5858827_FeatureEnvy,velocity-engine-core/src/main/java/org/apache/velocity/util/introspection/DeprecatedCheckUberspector.java,java,FeatureEnvy,init,0
MLCQ_5866628_LargeClass,uimaj-ep-cas-editor/src/main/java/org/apache/uima/caseditor/editor/action/WideLeftAnnotationSideAction.java,java,LargeClass,WideLeftAnnotationSideAction,0
MLCQ_5866628_DataClass,uimaj-ep-cas-editor/src/main/java/org/apache/uima/caseditor/editor/action/WideLeftAnnotationSideAction.java,java,DataClass,WideLeftAnnotationSideAction,0
MLCQ_5871455_DataClass,jVinci/src/main/java/org/apache/vinci/transport/ErrorFrame.java,java,DataClass,ErrorFrame,0
MLCQ_5871455_LargeClass,jVinci/src/main/java/org/apache/vinci/transport/ErrorFrame.java,java,LargeClass,ErrorFrame,0
MLCQ_5875400_LargeClass,stack/corepersistence/graph/src/main/java/org/apache/usergrid/persistence/graph/SearchByEdgeType.java,java,LargeClass,SearchByEdgeType,0
MLCQ_5875400_DataClass,stack/corepersistence/graph/src/main/java/org/apache/usergrid/persistence/graph/SearchByEdgeType.java,java,DataClass,SearchByEdgeType,0
MLCQ_5875574_FeatureEnvy,stack/rest/src/main/java/org/apache/usergrid/rest/management/users/UserResource.java,java,FeatureEnvy,getToken,0
MLCQ_5875574_LongMethod,stack/rest/src/main/java/org/apache/usergrid/rest/management/users/UserResource.java,java,LongMethod,getToken,0
MLCQ_5884892_LargeClass,stack/core/src/main/java/org/apache/usergrid/batch/service/JobSchedulerService.java,java,LargeClass,JobSchedulerService,1
MLCQ_5884892_DataClass,stack/core/src/main/java/org/apache/usergrid/batch/service/JobSchedulerService.java,java,DataClass,JobSchedulerService,0
MLCQ_5894781_LargeClass,xmlschema-core/src/main/java/org/apache/ws/commons/schema/XmlSchemaChoiceMember.java,java,LargeClass,XmlSchemaChoiceMember,0
MLCQ_5894781_DataClass,xmlschema-core/src/main/java/org/apache/ws/commons/schema/XmlSchemaChoiceMember.java,java,DataClass,XmlSchemaChoiceMember,0
MLCQ_5894436_LargeClass,stack/services/src/main/java/org/apache/usergrid/security/shiro/credentials/AdminUserCredentials.java,java,LargeClass,AdminUserCredentials,0
MLCQ_5894436_DataClass,stack/services/src/main/java/org/apache/usergrid/security/shiro/credentials/AdminUserCredentials.java,java,DataClass,AdminUserCredentials,0
MLCQ_5898336_LargeClass,src/main/java/org/apache/xmlgraphics/java2d/AbstractGraphicsConfiguration.java,java,LargeClass,AbstractGraphicsConfiguration,0
MLCQ_5898336_DataClass,src/main/java/org/apache/xmlgraphics/java2d/AbstractGraphicsConfiguration.java,java,DataClass,AbstractGraphicsConfiguration,0
MLCQ_5870863_LargeClass,uimaj-core/src/main/java/org/apache/uima/cas/impl/ShortArrayFSImpl.java,java,LargeClass,ShortArrayFSImpl,0
MLCQ_5870863_DataClass,uimaj-core/src/main/java/org/apache/uima/cas/impl/ShortArrayFSImpl.java,java,DataClass,ShortArrayFSImpl,0
MLCQ_5905362_LargeClass,src/org/apache/xalan/xsltc/runtime/ErrorMessages_zh.java,java,LargeClass,ErrorMessages_zh,0
MLCQ_5905362_DataClass,src/org/apache/xalan/xsltc/runtime/ErrorMessages_zh.java,java,DataClass,ErrorMessages_zh,0
MLCQ_5904263_LongMethod,src/org/apache/xml/dtm/ref/DTMNodeProxy.java,java,LongMethod,splitText,0
MLCQ_5904263_FeatureEnvy,src/org/apache/xml/dtm/ref/DTMNodeProxy.java,java,FeatureEnvy,splitText,0
MLCQ_5905498_LargeClass,src/org/apache/xalan/lib/ExsltBase.java,java,LargeClass,ExsltBase,0
MLCQ_5905498_DataClass,src/org/apache/xalan/lib/ExsltBase.java,java,DataClass,ExsltBase,0
MLCQ_5904455_LongMethod,src/org/apache/xml/utils/UnImplNode.java,java,LongMethod,hasAttribute,0
MLCQ_5904841_LongMethod,src/org/apache/xalan/xsltc/compiler/util/IntType.java,java,LongMethod,GE,0
MLCQ_5904841_FeatureEnvy,src/org/apache/xalan/xsltc/compiler/util/IntType.java,java,FeatureEnvy,GE,0
MLCQ_5923532_DataClass,zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,java,DataClass,angularRegistryPush_resultStandardScheme,0
MLCQ_5922177_LongMethod,zeppelin-server/src/main/java/org/apache/zeppelin/realm/jwt/KnoxJwtRealm.java,java,LongMethod,validateToken,0
MLCQ_5922177_FeatureEnvy,zeppelin-server/src/main/java/org/apache/zeppelin/realm/jwt/KnoxJwtRealm.java,java,FeatureEnvy,validateToken,0
MLCQ_5938889_LargeClass,zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorPanel.java,java,LargeClass,ZooInspectorPanel,1
MLCQ_5938889_DataClass,zookeeper-contrib/zookeeper-contrib-zooinspector/src/main/java/org/apache/zookeeper/inspector/gui/ZooInspectorPanel.java,java,DataClass,ZooInspectorPanel,0
MLCQ_5939437_LongMethod,container/openejb-loader/src/main/java/org/apache/openejb/loader/SystemInstance.java,java,LongMethod,setProperty,0
MLCQ_5939437_FeatureEnvy,container/openejb-loader/src/main/java/org/apache/openejb/loader/SystemInstance.java,java,FeatureEnvy,setProperty,0
MLCQ_5935402_LargeClass,spark/interpreter/src/main/java/org/apache/zeppelin/spark/SparkVersion.java,java,LargeClass,SparkVersion,0
MLCQ_5935402_DataClass,spark/interpreter/src/main/java/org/apache/zeppelin/spark/SparkVersion.java,java,DataClass,SparkVersion,1
MLCQ_5939683_LongMethod,container/openejb-core/src/main/java/org/apache/openejb/config/RemoteServer.java,java,LongMethod,setPortStartup,0
MLCQ_5939683_FeatureEnvy,container/openejb-core/src/main/java/org/apache/openejb/config/RemoteServer.java,java,FeatureEnvy,setPortStartup,0
MLCQ_5939954_FeatureEnvy,zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/JsonGenerator.java,java,FeatureEnvy,JsonGenerator,1
MLCQ_5939954_LongMethod,zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/JsonGenerator.java,java,LongMethod,JsonGenerator,1
MLCQ_5971146_DataClass,itests/failover/src/main/java/org/apache/openejb/server/control/StandaloneServer.java,java,DataClass,StopException,0
MLCQ_5971146_LargeClass,itests/failover/src/main/java/org/apache/openejb/server/control/StandaloneServer.java,java,LargeClass,StopException,0
MLCQ_6002683_LargeClass,policy/src/main/java/org/apache/wss4j/policy/model/Trust13.java,java,LargeClass,Trust13,0
MLCQ_6002683_DataClass,policy/src/main/java/org/apache/wss4j/policy/model/Trust13.java,java,DataClass,Trust13,1
MLCQ_6005367_LongMethod,policy/src/main/java/org/apache/wss4j/policy/model/Trust10.java,java,LongMethod,cloneAssertion,0
MLCQ_6005367_FeatureEnvy,policy/src/main/java/org/apache/wss4j/policy/model/Trust10.java,java,FeatureEnvy,cloneAssertion,0
MLCQ_6133230_LongMethod,core/plugins/org.eclipse.dltk.ui/ui refactoring/org/eclipse/dltk/internal/ui/refactoring/reorg/RenameRefactoringWizard.java,java,LongMethod,addUserInputPages,0
MLCQ_6133230_FeatureEnvy,core/plugins/org.eclipse.dltk.ui/ui refactoring/org/eclipse/dltk/internal/ui/refactoring/reorg/RenameRefactoringWizard.java,java,FeatureEnvy,addUserInputPages,0
MLCQ_6005399_LargeClass,bindings/src/main/java/org/apache/wss4j/binding/wsu10/TimestampType.java,java,LargeClass,TimestampType,0
MLCQ_6005399_DataClass,bindings/src/main/java/org/apache/wss4j/binding/wsu10/TimestampType.java,java,DataClass,TimestampType,1
MLCQ_6009975_LargeClass,resources/pivotal-network-resource/src/main/java/org/cloudfoundry/dependency/resource/pivotalnetwork/PivotalNetworkInParams.java,java,LargeClass,PivotalNetworkInParams,0
MLCQ_6009975_DataClass,resources/pivotal-network-resource/src/main/java/org/cloudfoundry/dependency/resource/pivotalnetwork/PivotalNetworkInParams.java,java,DataClass,PivotalNetworkInParams,0
MLCQ_6010673_LongMethod,cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/_ReactorCloudFoundryClient.java,java,LongMethod,stacks,0
MLCQ_6010673_FeatureEnvy,cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/_ReactorCloudFoundryClient.java,java,FeatureEnvy,stacks,0
MLCQ_6009570_LongMethod,jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,java,LongMethod,JedisPool,0
MLCQ_6009570_FeatureEnvy,jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,java,FeatureEnvy,JedisPool,0
MLCQ_5939530_LongMethod,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KerberosName.java,java,LongMethod,replaceSubstitution,0
MLCQ_5939530_FeatureEnvy,zookeeper-server/src/main/java/org/apache/zookeeper/server/auth/KerberosName.java,java,FeatureEnvy,replaceSubstitution,0
MLCQ_6009432_DataClass,jprotobuf-rpc-core/src/main/java/com/baidu/jprotobuf/pbrpc/ErrorDataException.java,java,DataClass,ErrorDataException,1
MLCQ_6009432_LargeClass,jprotobuf-rpc-core/src/main/java/com/baidu/jprotobuf/pbrpc/ErrorDataException.java,java,LargeClass,ErrorDataException,0
MLCQ_6012953_LargeClass,cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/applications/_ApplicationInstancesResponse.java,java,LargeClass,_ApplicationInstancesResponse,0
MLCQ_6012953_DataClass,cloudfoundry-client/src/main/java/org/cloudfoundry/client/v2/applications/_ApplicationInstancesResponse.java,java,DataClass,_ApplicationInstancesResponse,0
MLCQ_6133656_DataClass,core/plugins/org.eclipse.dltk.debug.ui/src/org/eclipse/dltk/debug/ui/preferences/dialogs/CreateStepFilterDialog.java,java,DataClass,CreateStepFilterDialog,0
MLCQ_6133656_LargeClass,core/plugins/org.eclipse.dltk.debug.ui/src/org/eclipse/dltk/debug/ui/preferences/dialogs/CreateStepFilterDialog.java,java,LargeClass,CreateStepFilterDialog,1
MLCQ_6016779_LongMethod,cloudfoundry-client/src/main/java/org/cloudfoundry/client/v3/packages/PackageState.java,java,LongMethod,PackageState,0
MLCQ_6016779_FeatureEnvy,cloudfoundry-client/src/main/java/org/cloudfoundry/client/v3/packages/PackageState.java,java,FeatureEnvy,PackageState,0
MLCQ_6025409_DataClass,org.eclipse.buildship.core/src/main/java/org/eclipse/buildship/core/internal/launch/LaunchConfigurationScope.java,java,DataClass,IncludeAllLaunchConfigurationScope,0
MLCQ_6025409_LargeClass,org.eclipse.buildship.core/src/main/java/org/eclipse/buildship/core/internal/launch/LaunchConfigurationScope.java,java,LargeClass,IncludeAllLaunchConfigurationScope,0
MLCQ_6051731_LargeClass,org.eclipse.dawnsci.slicing.api/src/org/eclipse/dawnsci/slicing/api/system/DimsDataList.java,java,LargeClass,DimsDataList,0
MLCQ_6051731_DataClass,org.eclipse.dawnsci.slicing.api/src/org/eclipse/dawnsci/slicing/api/system/DimsDataList.java,java,DataClass,DimsDataList,0
MLCQ_6051478_LongMethod,org.eclipse.dawnsci.nexus/autogen/org/eclipse/dawnsci/nexus/impl/NXpolarizerImpl.java,java,LongMethod,getComposition,0
MLCQ_6051478_FeatureEnvy,org.eclipse.dawnsci.nexus/autogen/org/eclipse/dawnsci/nexus/impl/NXpolarizerImpl.java,java,FeatureEnvy,getComposition,0
MLCQ_6073506_LargeClass,services/things/persistence/src/main/java/org/eclipse/ditto/services/things/persistence/actors/strategies/events/AttributesDeletedStrategy.java,java,LargeClass,AttributesDeletedStrategy,0
MLCQ_6073506_DataClass,services/things/persistence/src/main/java/org/eclipse/ditto/services/things/persistence/actors/strategies/events/AttributesDeletedStrategy.java,java,DataClass,AttributesDeletedStrategy,0
MLCQ_6073975_LongMethod,langtools-classfile/src/org/eclipse/ceylon/langtools/classfile/Annotation.java,java,LongMethod,length,0
MLCQ_6073975_FeatureEnvy,langtools-classfile/src/org/eclipse/ceylon/langtools/classfile/Annotation.java,java,FeatureEnvy,length,0
MLCQ_6079026_LargeClass,services/concierge/enforcement/src/main/java/org/eclipse/ditto/services/concierge/enforcement/LiveSignalEnforcement.java,java,LargeClass,LiveSignalEnforcement,1
MLCQ_6079026_DataClass,services/concierge/enforcement/src/main/java/org/eclipse/ditto/services/concierge/enforcement/LiveSignalEnforcement.java,java,DataClass,LiveSignalEnforcement,0
MLCQ_6115582_LargeClass,eclipse-collections/src/main/java/org/eclipse/collections/impl/block/factory/Functions.java,java,LargeClass,MapKeyFunction,0
MLCQ_6115582_DataClass,eclipse-collections/src/main/java/org/eclipse/collections/impl/block/factory/Functions.java,java,DataClass,MapKeyFunction,0
MLCQ_6178268_LargeClass,org.eclipse.egit.ui.test/src/org/eclipse/egit/ui/common/SharingWizard.java,java,LargeClass,SharingWizard,0
MLCQ_6178268_DataClass,org.eclipse.egit.ui.test/src/org/eclipse/egit/ui/common/SharingWizard.java,java,DataClass,SharingWizard,0
MLCQ_6177738_LongMethod,ide/che-core-orion-editor/src/main/java/org/eclipse/che/ide/status/message/StatusMessage.java,java,LongMethod,equals,0
MLCQ_6177738_FeatureEnvy,ide/che-core-orion-editor/src/main/java/org/eclipse/che/ide/status/message/StatusMessage.java,java,FeatureEnvy,equals,0
MLCQ_6179479_LargeClass,plugins/plugin-languageserver/che-plugin-languageserver-ide/src/main/java/org/eclipse/che/api/languageserver/util/JsonSerializable.java,java,LargeClass,JsonSerializable,0
MLCQ_6179479_DataClass,plugins/plugin-languageserver/che-plugin-languageserver-ide/src/main/java/org/eclipse/che/api/languageserver/util/JsonSerializable.java,java,DataClass,JsonSerializable,0
MLCQ_6179494_LongMethod,wsagent/che-core-api-project/src/main/java/org/eclipse/che/api/search/server/impl/SearchResultEntry.java,java,LongMethod,SearchResultEntry,0
MLCQ_6179494_FeatureEnvy,wsagent/che-core-api-project/src/main/java/org/eclipse/che/api/search/server/impl/SearchResultEntry.java,java,FeatureEnvy,SearchResultEntry,0
MLCQ_6179505_LongMethod,ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/theme/DarkTheme.java,java,LongMethod,hoverBackgroundColor,0
MLCQ_6179505_FeatureEnvy,ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/theme/DarkTheme.java,java,FeatureEnvy,hoverBackgroundColor,0
MLCQ_6181780_LargeClass,wsagent/che-core-api-project-shared/src/main/java/org/eclipse/che/api/project/shared/dto/event/FileStateUpdateDto.java,java,LargeClass,FileStateUpdateDto,0
MLCQ_6181780_DataClass,wsagent/che-core-api-project-shared/src/main/java/org/eclipse/che/api/project/shared/dto/event/FileStateUpdateDto.java,java,DataClass,FileStateUpdateDto,0
MLCQ_6183429_LongMethod,ide/commons-gwt/src/main/java/org/eclipse/che/ide/util/dom/DomUtils.java,java,LongMethod,getSiblingIndexWithClassName,0
MLCQ_6183429_FeatureEnvy,ide/commons-gwt/src/main/java/org/eclipse/che/ide/util/dom/DomUtils.java,java,FeatureEnvy,getSiblingIndexWithClassName,0
MLCQ_6183095_LargeClass,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/workspace/event/MachineStoppedEvent.java,java,LargeClass,MachineStoppedEvent,0
MLCQ_6183095_DataClass,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/workspace/event/MachineStoppedEvent.java,java,DataClass,MachineStoppedEvent,1
MLCQ_6182357_LongMethod,infrastructures/docker/docker-client/src/main/java/org/eclipse/che/infrastructure/docker/client/json/ExecInfo.java,java,LongMethod,toString,1
MLCQ_6182357_FeatureEnvy,infrastructures/docker/docker-client/src/main/java/org/eclipse/che/infrastructure/docker/client/json/ExecInfo.java,java,FeatureEnvy,toString,0
MLCQ_6191838_LargeClass,org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/synchronize/action/ExpandAllModelAction.java,java,LargeClass,ExpandAllAction,0
MLCQ_6191838_DataClass,org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/synchronize/action/ExpandAllModelAction.java,java,DataClass,ExpandAllAction,0
MLCQ_6190083_FeatureEnvy,plugins/plugin-java/che-plugin-java-ext-lang-client/src/main/java/org/eclipse/che/ide/ext/java/client/progressor/ProgressMonitorPresenter.java,java,FeatureEnvy,hide,0
MLCQ_6190083_LongMethod,plugins/plugin-java/che-plugin-java-ext-lang-client/src/main/java/org/eclipse/che/ide/ext/java/client/progressor/ProgressMonitorPresenter.java,java,LongMethod,hide,0
MLCQ_6192975_LargeClass,ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/actions/GoIntoAction.java,java,LargeClass,GoIntoAction,1
MLCQ_6192975_DataClass,ide/che-core-ide-app/src/main/java/org/eclipse/che/ide/actions/GoIntoAction.java,java,DataClass,GoIntoAction,0
MLCQ_6197424_LargeClass,infrastructures/docker/docker-client/src/main/java/org/eclipse/che/infrastructure/docker/client/json/network/Ipam.java,java,LargeClass,Ipam,0
MLCQ_6197424_DataClass,infrastructures/docker/docker-client/src/main/java/org/eclipse/che/infrastructure/docker/client/json/network/Ipam.java,java,DataClass,Ipam,1
MLCQ_6198340_LongMethod,core/commons/che-core-commons-inject/src/main/java/org/eclipse/che/inject/lifecycle/LifecycleModule.java,java,LongMethod,equals,0
MLCQ_6198340_FeatureEnvy,core/commons/che-core-commons-inject/src/main/java/org/eclipse/che/inject/lifecycle/LifecycleModule.java,java,FeatureEnvy,equals,0
MLCQ_6207228_LargeClass,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/partition/ConstantPartitioner.java,java,LargeClass,ConstantPartitioner,0
MLCQ_6207228_DataClass,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/partition/ConstantPartitioner.java,java,DataClass,ConstantPartitioner,1
MLCQ_6212569_LongMethod,core/commons/che-core-commons-xml/src/main/java/org/eclipse/che/commons/xml/Element.java,java,LongMethod,replaceWith,0
MLCQ_6212569_FeatureEnvy,core/commons/che-core-commons-xml/src/main/java/org/eclipse/che/commons/xml/Element.java,java,FeatureEnvy,replaceWith,0
MLCQ_6212333_LongMethod,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/events/GutterClickEvent.java,java,LongMethod,getEvent,0
MLCQ_6212333_FeatureEnvy,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/events/GutterClickEvent.java,java,FeatureEnvy,getEvent,0
MLCQ_6212329_LongMethod,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/events/GutterClickEvent.java,java,LongMethod,getAssociatedType,0
MLCQ_6212329_FeatureEnvy,ide/che-core-ide-api/src/main/java/org/eclipse/che/ide/api/editor/events/GutterClickEvent.java,java,FeatureEnvy,getAssociatedType,0
MLCQ_6213525_LargeClass,plugins/plugin-testing/che-plugin-testing-ide/src/main/java/org/eclipse/che/plugin/testing/ide/model/info/SuiteInProgressInfo.java,java,LargeClass,SuiteInProgressInfo,0
MLCQ_6213525_DataClass,plugins/plugin-testing/che-plugin-testing-ide/src/main/java/org/eclipse/che/plugin/testing/ide/model/info/SuiteInProgressInfo.java,java,DataClass,SuiteInProgressInfo,0
MLCQ_6216254_LargeClass,plugins/org.eclipse.elk.core.meta/src-gen/org/eclipse/elk/core/meta/metaData/impl/MetaDataFactoryImpl.java,java,LargeClass,MetaDataFactoryImpl,1
