project_id,file_name,language,framework,lines_of_code,cyclomatic_complexity,num_methods,num_classes,code_smell_type,smell_severity,refactoring_suggested,refactoring_applied,pre_refactor_complexity,post_refactor_complexity,technical_debt_minutes,maintainability_index,bug_prone_score,developer_experience_years
9815,file_216.py,Java,React,1190,42,65,16,Switch Statements,Critical,Encapsulate Field,1,52,27,336,44.79,0.624,13
3049,file_217.py,Java,Flask,165,37,42,15,God Class,Critical,Introduce Parameter Object,1,19,32,363,30.65,0.707,9
4170,file_223.py,Java,Angular,613,43,48,6,Data Clumps,Minor,Extract Method,0,25,22,137,74.4,0.487,14
7295,file_227.py,Java,Spring,1137,29,35,2,Long Method,Major,Encapsulate Field,0,18,10,378,36.04,0.681,0
1098,file_235.py,Java,,618,5,72,1,God Class,Major,Extract Method,1,41,20,357,83.68,0.939,15
9050,file_253.py,Java,Angular,41,30,42,18,Duplicated Code,Minor,Extract Method,0,53,29,493,67.55,0.774,14
7893,file_256.py,Java,Django,1691,37,70,10,Speculative Generality,Major,Introduce Parameter Object,0,11,11,426,62.66,0.162,1
8996,file_266.py,Java,Django,1056,15,44,6,Switch Statements,Critical,Replace Conditional with Polymorphism,1,18,31,429,66.23,0.662,1
2069,file_273.py,Java,Django,998,3,7,18,Data Clumps,Critical,Inline Method,0,54,10,442,16.79,0.22,2
4327,file_288.py,Java,Spring,537,2,2,5,Temporary Field,Critical,Remove Dead Code,1,18,30,448,77.34,0.556,4
4394,file_289.py,Java,Angular,627,28,21,14,Dead Code,Major,Replace Conditional with Polymorphism,0,50,24,218,13.2,0.631,10
6442,file_295.py,Java,Angular,60,43,70,9,Primitive Obsession,Critical,Remove Dead Code,1,55,39,69,84.95,0.091,2
5014,file_300.py,Java,Angular,890,33,69,11,Message Chains,Major,Split Class,0,8,24,454,58.38,0.829,11
4009,file_302.py,Java,Spring,1620,9,56,4,Dead Code,Critical,Simplify Conditional,1,43,31,229,14.8,0.439,12
3806,file_313.py,Java,Flask,1028,18,65,4,Duplicated Code,Critical,Simplify Conditional,1,8,16,263,24.54,0.722,8
1537,file_314.py,Java,Flask,292,14,10,17,Duplicated Code,Critical,Encapsulate Field,0,48,36,122,46.82,0.269,3
3491,file_340.py,Java,Flask,824,12,1,5,Long Method,Major,Rename Variable,1,43,29,160,58.12,0.331,3
8079,file_352.py,Java,React,860,43,55,12,Large Class,Critical,Extract Class,1,39,3,301,90.4,0.723,3
1635,file_356.py,Java,React,423,3,3,16,Speculative Generality,Major,Encapsulate Field,1,58,15,466,80.36,0.692,15
3838,file_365.py,Java,Flask,467,25,48,10,Speculative Generality,Minor,Remove Dead Code,1,47,11,210,90.56,0.711,12
2081,file_370.py,Java,React,1557,19,51,4,Data Clumps,Major,Move Method,0,41,26,153,46.05,0.087,12
8805,file_372.py,Java,Flask,1221,10,27,14,Speculative Generality,Critical,Encapsulate Field,1,59,16,298,26.69,0.177,9
8404,file_376.py,Java,Spring,271,15,21,7,Temporary Field,Critical,Inline Method,1,25,8,217,58.02,0.724,7
4147,file_382.py,Java,Flask,246,31,70,16,Feature Envy,Critical,Encapsulate Field,0,36,2,218,25.25,0.16,11
5249,file_383.py,Java,,1004,7,56,2,Switch Statements,Minor,Rename Variable,1,34,16,350,40.07,0.508,1
3744,file_387.py,Java,Django,257,42,30,9,Large Class,Minor,Extract Class,0,12,39,73,72.27,0.16,2
3839,file_402.py,Java,Flask,384,31,10,15,God Class,Minor,Remove Dead Code,0,5,34,227,21.65,0.882,7
7303,file_405.py,Java,Spring,1676,30,9,8,Lazy Class,Critical,Extract Method,1,37,35,431,23.76,0.154,10
9002,file_415.py,Java,Spring,1502,45,57,5,Lazy Class,Critical,Move Method,1,7,29,497,99.89,0.083,5
8723,file_419.py,Java,,1355,29,73,3,Data Clumps,Minor,Inline Method,1,59,33,189,20.24,0.117,0
1728,file_439.py,Java,,1738,35,55,1,Temporary Field,Major,Move Method,0,41,6,493,93.22,0.889,13
3967,file_444.py,Java,Angular,1605,27,30,14,Dead Code,Major,Simplify Conditional,1,37,33,419,63.54,0.106,9
4440,file_454.py,Java,,893,21,62,18,Primitive Obsession,Major,Rename Variable,1,56,1,218,54.1,0.041,4
5968,file_458.py,Java,React,1657,40,23,9,Primitive Obsession,Major,Move Method,1,26,21,255,85.84,0.303,2
5360,file_470.py,Java,React,424,24,68,16,God Class,Critical,Simplify Conditional,1,25,32,352,87.7,0.559,11
5946,file_474.py,Java,Django,1006,14,39,5,Feature Envy,Major,Rename Variable,0,19,28,466,65.9,0.42,19
6486,file_475.py,Java,Spring,1673,29,30,8,Inappropriate Intimacy,Major,Extract Method,0,20,32,400,93.87,0.581,6
8192,file_480.py,Java,React,639,46,25,7,Lazy Class,Critical,Rename Variable,0,39,5,496,70.75,0.338,13
4636,file_483.py,Java,,147,9,13,7,Temporary Field,Critical,Extract Method,0,13,27,138,66.13,0.963,15
3156,file_486.py,Java,Flask,126,19,74,11,Dead Code,Critical,Extract Method,0,47,11,136,56.61,0.933,18
2542,file_504.py,Java,React,1541,26,77,9,Shotgun Surgery,Critical,Encapsulate Field,0,11,10,398,61.72,0.587,8
6293,file_505.py,Java,Flask,1632,3,18,17,Message Chains,Major,Encapsulate Field,1,51,38,282,91.14,0.929,1
6541,file_512.py,Java,,1310,27,20,5,Large Class,Minor,Extract Class,0,18,36,449,81.9,0.774,0
2365,file_513.py,Java,React,828,23,44,15,Large Class,Major,Split Class,0,5,27,308,65.97,0.148,15
8494,file_516.py,Java,,299,33,18,1,Speculative Generality,Minor,Rename Variable,0,11,11,484,71.79,0.639,5
2810,file_522.py,Java,,576,40,35,14,Switch Statements,Critical,Extract Method,1,8,26,123,55.97,0.232,13
9905,file_527.py,Java,Spring,1571,40,51,3,Long Method,Minor,Extract Class,0,16,34,429,75.0,0.426,15
6977,file_528.py,Java,Spring,1248,43,42,6,Speculative Generality,Critical,Extract Method,1,8,29,239,28.98,0.505,5
7619,file_533.py,Java,,117,33,6,9,Message Chains,Critical,Encapsulate Field,1,47,10,390,19.16,0.701,1
7530,file_536.py,Java,Spring,848,1,21,9,Inappropriate Intimacy,Critical,Replace Conditional with Polymorphism,1,5,17,80,91.0,0.299,17
6029,file_543.py,Java,Django,1625,2,63,14,Message Chains,Major,Split Class,0,58,21,313,44.89,0.023,13
1133,file_544.py,Java,Spring,376,10,11,14,Data Clumps,Critical,Introduce Parameter Object,1,40,39,229,53.98,0.569,10
4376,file_554.py,Java,Flask,191,48,16,3,Lazy Class,Critical,Move Method,1,16,3,347,97.23,0.358,8
9053,file_558.py,Java,Flask,887,13,51,6,Large Class,Critical,Replace Conditional with Polymorphism,1,40,23,252,47.24,0.084,10
2353,file_564.py,Java,Spring,95,28,19,4,Large Class,Minor,Extract Method,0,56,10,450,40.69,0.66,11
9549,file_566.py,Java,Flask,1322,5,72,2,Primitive Obsession,Critical,Replace Conditional with Polymorphism,0,56,17,377,82.48,0.029,2
1667,file_568.py,Java,React,1147,13,66,11,Speculative Generality,Critical,Move Method,0,26,16,154,82.32,0.659,13
8891,file_583.py,Java,Angular,718,40,48,15,Large Class,Major,Inline Method,0,52,17,370,63.84,0.745,11
1924,file_585.py,Java,Angular,1947,31,59,9,God Class,Critical,Split Class,1,28,3,423,43.25,0.832,7
2581,file_586.py,Java,Django,1886,49,52,9,Large Class,Critical,Remove Dead Code,0,5,11,22,60.31,0.518,13
8409,file_597.py,Java,Angular,111,33,67,18,God Class,Major,Replace Conditional with Polymorphism,0,15,28,482,11.33,0.564,15
6124,file_599.py,Java,Flask,425,4,6,11,Large Class,Minor,Simplify Conditional,1,38,4,281,81.58,0.994,4
3193,file_601.py,Java,,1193,17,57,14,Switch Statements,Major,Move Method,1,10,15,456,73.06,0.15,16
5000,file_609.py,Java,React,1133,20,74,15,Feature Envy,Minor,Simplify Conditional,0,23,39,435,20.11,0.341,0
1384,file_613.py,Java,,360,16,8,12,Speculative Generality,Critical,Extract Method,1,37,39,233,75.82,0.114,11
8140,file_620.py,Java,Spring,234,49,13,8,Shotgun Surgery,Critical,Move Method,0,45,10,211,95.7,0.874,17
5809,file_622.py,Java,,694,14,11,18,Lazy Class,Critical,Move Method,1,37,24,488,71.43,0.827,0
8239,file_635.py,Java,Spring,1191,26,62,3,Inappropriate Intimacy,Critical,Rename Variable,0,25,38,76,62.21,0.005,18
9865,file_637.py,Java,React,398,10,12,19,Large Class,Minor,Remove Dead Code,1,19,32,36,11.19,0.983,7
7544,file_645.py,Java,Django,1895,45,40,19,Lazy Class,Critical,Remove Dead Code,0,13,15,160,91.13,0.326,9
3814,file_647.py,Java,,805,8,15,17,Switch Statements,Major,Simplify Conditional,0,36,32,15,71.81,0.715,13
5673,file_651.py,Java,React,430,14,27,15,Temporary Field,Critical,Move Method,0,58,31,341,37.91,0.48,15
7881,file_653.py,Java,Spring,1865,42,52,2,Duplicated Code,Minor,Rename Variable,0,56,4,135,36.0,0.527,16
8648,file_661.py,Java,Flask,347,39,52,9,Feature Envy,Major,Extract Method,0,12,31,231,76.7,0.007,3
4177,file_665.py,Java,React,1550,37,9,12,Message Chains,Minor,Split Class,0,48,23,49,66.07,0.882,11
8730,file_666.py,Java,Flask,999,5,55,12,Lazy Class,Minor,Replace Conditional with Polymorphism,0,43,1,239,72.07,0.022,14
4472,file_672.py,Java,Django,113,24,57,14,Dead Code,Critical,Rename Variable,1,24,39,445,42.58,0.506,15
6449,file_673.py,Java,React,1866,42,74,14,God Class,Critical,Move Method,1,14,19,457,46.37,0.174,12
4266,file_694.py,Java,React,847,12,1,13,Lazy Class,Minor,Simplify Conditional,0,59,30,355,65.08,0.511,8
3393,file_709.py,Java,Flask,1624,27,33,14,Large Class,Minor,Remove Dead Code,1,32,37,252,89.58,0.334,3
4644,file_718.py,Java,Flask,1150,7,43,2,God Class,Critical,Encapsulate Field,1,54,32,226,55.28,0.653,13
2276,file_720.py,Java,,872,19,12,14,Shotgun Surgery,Critical,Inline Method,1,38,1,452,15.5,0.09,11
1302,file_722.py,Java,Spring,522,16,65,12,Temporary Field,Major,Split Class,1,40,19,12,14.54,0.484,4
1364,file_728.py,Java,Flask,352,29,22,13,Shotgun Surgery,Major,Split Class,1,59,4,12,63.73,0.784,12
9152,file_746.py,Java,Angular,1298,14,59,7,Switch Statements,Major,Rename Variable,1,37,35,408,50.02,0.454,16
2062,file_749.py,Java,React,1180,38,36,8,Speculative Generality,Major,Remove Dead Code,0,8,11,34,27.99,0.26,6
2296,file_751.py,Java,Spring,1960,13,60,5,Shotgun Surgery,Major,Remove Dead Code,0,46,36,325,40.93,0.53,5
3472,file_767.py,Java,Angular,67,8,11,15,Primitive Obsession,Critical,Rename Variable,0,56,19,7,97.74,0.977,14
2761,file_770.py,Java,Django,1335,15,34,3,Large Class,Critical,Replace Conditional with Polymorphism,1,19,35,105,74.31,0.423,13
6342,file_785.py,Java,Angular,1502,29,74,10,Primitive Obsession,Critical,Move Method,0,33,26,461,61.21,0.345,8
8489,file_787.py,Java,Spring,1838,23,49,15,God Class,Major,Introduce Parameter Object,1,12,3,269,52.15,0.544,14
9195,file_789.py,Java,Flask,889,47,20,15,Dead Code,Major,Remove Dead Code,1,9,15,226,57.97,0.403,19
6560,file_794.py,Java,Flask,1716,14,21,17,Data Clumps,Critical,Split Class,0,22,28,7,40.12,0.061,18
7469,file_798.py,Java,Django,1876,3,14,10,God Class,Critical,Extract Method,0,54,9,309,14.65,0.138,10
7233,file_804.py,Java,,791,18,35,6,Primitive Obsession,Minor,Simplify Conditional,1,18,16,293,50.4,0.245,18
2917,file_806.py,Java,React,1517,48,4,9,Primitive Obsession,Minor,Rename Variable,1,31,24,129,17.15,0.515,19
5234,file_807.py,Java,Angular,811,25,26,12,Switch Statements,Minor,Extract Class,1,35,22,155,45.19,0.48,13
4490,file_824.py,Java,Angular,1187,19,14,14,Temporary Field,Critical,Simplify Conditional,1,50,16,98,58.65,0.276,2
9162,file_833.py,Java,React,1313,31,3,8,God Class,Minor,Split Class,1,22,32,307,59.64,0.466,2
4391,file_836.py,Java,,1939,37,65,6,Dead Code,Major,Extract Class,0,21,35,16,87.81,0.696,12
3898,file_843.py,Java,,1060,23,9,6,Message Chains,Major,Replace Conditional with Polymorphism,1,8,3,362,42.63,0.417,2
1077,file_845.py,Java,Django,1675,35,38,9,Inappropriate Intimacy,Critical,Introduce Parameter Object,0,23,24,320,26.96,0.036,2
5033,file_861.py,Java,Angular,1756,22,14,13,Shotgun Surgery,Critical,Split Class,1,35,13,63,27.48,0.759,10
8667,file_871.py,Java,Flask,1258,35,40,8,Data Clumps,Critical,Simplify Conditional,1,27,22,404,99.81,0.493,4
1950,file_880.py,Java,Flask,1196,1,76,5,Long Method,Minor,Replace Conditional with Polymorphism,1,36,36,77,11.88,0.639,1
3645,file_884.py,Java,Django,985,32,3,2,Temporary Field,Major,Encapsulate Field,0,23,38,106,73.72,0.737,16
7028,file_887.py,Java,Spring,736,36,21,3,Switch Statements,Major,Remove Dead Code,0,48,37,154,30.45,0.633,9
8863,file_891.py,Java,React,151,20,75,19,Primitive Obsession,Major,Introduce Parameter Object,1,47,22,284,34.93,0.172,3
3116,file_902.py,Java,Spring,652,10,72,10,Feature Envy,Minor,Extract Class,0,35,25,219,35.07,0.629,1
6779,file_903.py,Java,Angular,541,31,61,11,Duplicated Code,Minor,Encapsulate Field,0,31,39,58,16.97,0.315,17
1814,file_905.py,Java,Django,964,43,3,2,Feature Envy,Major,Remove Dead Code,1,46,36,315,87.83,0.254,19
4531,file_913.py,Java,Django,1712,1,71,3,Message Chains,Major,Encapsulate Field,1,45,21,212,38.42,0.698,19
8147,file_914.py,Java,Django,871,37,39,1,Inappropriate Intimacy,Critical,Encapsulate Field,0,37,20,260,33.42,0.918,3
6959,file_917.py,Java,Spring,85,1,36,17,Feature Envy,Minor,Encapsulate Field,0,29,27,199,54.33,0.07,17
4177,file_919.py,Java,Angular,779,10,40,5,Primitive Obsession,Minor,Simplify Conditional,0,40,10,425,97.27,0.446,14
9795,file_920.py,Java,React,1532,39,6,17,God Class,Minor,Extract Method,1,32,11,347,14.56,0.923,4
2645,file_931.py,Java,Angular,1039,32,72,12,Lazy Class,Critical,Replace Conditional with Polymorphism,0,52,7,103,58.81,0.408,18
5021,file_936.py,Java,,260,27,43,5,Inappropriate Intimacy,Minor,Extract Class,0,35,8,430,97.84,0.014,8
5662,file_937.py,Java,,284,36,44,16,Message Chains,Minor,Rename Variable,1,58,22,448,58.46,0.677,0
6031,file_939.py,Java,React,668,3,73,16,God Class,Major,Simplify Conditional,0,5,2,327,27.25,0.625,3
9393,file_942.py,Java,Flask,448,23,62,8,God Class,Critical,Extract Method,1,32,8,72,47.46,0.571,2
4507,file_943.py,Java,,1548,45,50,16,God Class,Critical,Replace Conditional with Polymorphism,0,46,35,118,85.8,0.205,5
9666,file_953.py,Java,,756,26,5,15,Primitive Obsession,Critical,Remove Dead Code,0,58,20,195,64.91,0.412,0
6299,file_961.py,Java,Spring,1755,16,74,5,Speculative Generality,Critical,Encapsulate Field,0,15,36,413,79.78,0.053,5
4572,file_962.py,Java,React,33,9,45,8,Shotgun Surgery,Minor,Introduce Parameter Object,1,41,30,155,94.36,0.128,10
6975,file_963.py,Java,Spring,247,11,33,12,Lazy Class,Major,Introduce Parameter Object,0,59,39,180,97.37,0.05,2
3713,file_967.py,Java,React,1989,19,33,5,Feature Envy,Major,Introduce Parameter Object,1,44,9,105,77.26,0.938,6
6588,file_968.py,Java,Angular,1684,31,77,15,Dead Code,Critical,Replace Conditional with Polymorphism,1,7,29,497,82.47,0.081,1
3079,file_984.py,Java,Angular,342,25,9,2,Feature Envy,Critical,Move Method,0,45,26,232,57.58,0.401,14
5524,file_986.py,Java,,1923,3,57,3,Large Class,Minor,Move Method,0,13,20,193,34.15,0.703,17
9477,file_987.py,Java,,562,19,29,18,Temporary Field,Major,Extract Method,1,39,4,199,16.04,0.051,6
8311,file_988.py,Java,Django,924,21,23,6,Message Chains,Critical,Move Method,0,45,21,320,94.19,0.184,12
6083,file_994.py,Java,,184,38,69,6,Dead Code,Major,Inline Method,0,36,32,317,79.07,0.884,2
6797,file_996.py,Java,,1226,1,69,5,Dead Code,Critical,Replace Conditional with Polymorphism,0,21,4,24,64.78,0.717,15
2481,file_1002.py,Java,Spring,779,2,77,18,Dead Code,Minor,Simplify Conditional,1,52,8,495,46.33,0.051,4
8643,file_1006.py,Java,React,424,10,20,2,Temporary Field,Major,Encapsulate Field,0,52,30,230,71.93,0.196,6
8221,file_1011.py,Java,Django,871,5,20,10,Temporary Field,Critical,Split Class,1,7,23,102,26.5,0.554,16
4310,file_1012.py,Java,Flask,706,22,34,2,Speculative Generality,Critical,Extract Method,0,6,1,355,58.3,0.276,3
4675,file_1017.py,Java,,1471,29,74,6,Speculative Generality,Minor,Simplify Conditional,0,24,26,8,80.09,0.048,17
9356,file_1025.py,Java,React,1125,30,7,5,Lazy Class,Critical,Inline Method,1,44,8,143,92.46,0.602,3
5425,file_1031.py,Java,React,802,7,58,14,Inappropriate Intimacy,Minor,Move Method,1,18,16,322,81.79,0.354,8
5242,file_1034.py,Java,Spring,1956,11,78,13,Duplicated Code,Major,Introduce Parameter Object,0,16,17,471,94.06,0.441,4
2308,file_1037.py,Java,,559,37,3,14,Switch Statements,Minor,Extract Class,1,59,35,379,12.83,0.308,5
9705,file_1039.py,Java,Flask,1691,42,54,6,Message Chains,Major,Move Method,0,31,37,87,66.86,0.963,8
2409,file_1044.py,Java,,1699,36,7,5,Temporary Field,Major,Extract Method,1,41,30,105,54.82,0.713,11
5566,file_1045.py,Java,React,366,16,4,4,Inappropriate Intimacy,Critical,Introduce Parameter Object,1,11,10,383,74.51,0.752,9
1804,file_1048.py,Java,Angular,1701,2,4,19,Speculative Generality,Critical,Extract Class,0,17,9,50,49.72,0.31,16
6986,file_1051.py,Java,,277,1,56,11,Inappropriate Intimacy,Minor,Inline Method,0,37,3,459,18.62,0.243,13
3679,file_1054.py,Java,Spring,1304,29,6,10,Feature Envy,Major,Inline Method,1,9,6,437,89.76,0.539,19
3599,file_1062.py,Java,Flask,990,33,76,11,God Class,Critical,Extract Method,1,27,32,299,70.81,0.572,2
9633,file_1072.py,Java,,1723,40,18,4,Data Clumps,Minor,Extract Class,0,12,39,230,81.05,0.902,10
1074,file_1074.py,Java,,1533,30,40,9,Temporary Field,Major,Inline Method,1,6,29,424,97.7,0.872,3
9801,file_1088.py,Java,React,802,19,45,13,Shotgun Surgery,Minor,Inline Method,1,59,34,312,21.4,0.505,1
4629,file_1095.py,Java,Angular,99,9,54,19,God Class,Major,Move Method,0,24,32,338,58.75,0.061,16
6941,file_1098.py,Java,React,1673,13,56,18,Large Class,Major,Remove Dead Code,0,13,7,332,67.52,0.423,10
6490,file_1102.py,Java,Django,1556,18,6,9,Inappropriate Intimacy,Critical,Split Class,1,26,2,280,70.2,0.133,8
7766,file_1112.py,Java,,1892,5,50,2,Switch Statements,Minor,Move Method,0,37,30,278,60.25,0.612,3
3711,file_1113.py,Java,Django,623,18,1,8,Feature Envy,Critical,Rename Variable,0,31,23,240,81.21,0.296,9
7212,file_1115.py,Java,Spring,1753,40,26,6,Inappropriate Intimacy,Major,Replace Conditional with Polymorphism,1,24,18,229,49.35,0.407,0
3343,file_1129.py,Java,Flask,708,26,36,11,Temporary Field,Critical,Extract Class,1,53,7,281,54.33,0.065,17
8970,file_1136.py,Java,Django,659,21,75,3,Data Clumps,Major,Move Method,0,41,21,258,67.84,0.484,4
4549,file_1140.py,Java,,418,11,1,19,God Class,Minor,Introduce Parameter Object,0,18,17,180,96.89,0.104,19
3322,file_1144.py,Java,Flask,386,31,38,4,Inappropriate Intimacy,Minor,Introduce Parameter Object,0,42,2,492,17.09,0.175,17
5090,file_1145.py,Java,Django,452,35,44,18,Lazy Class,Critical,Replace Conditional with Polymorphism,0,46,27,336,52.82,0.802,17
6136,file_1148.py,Java,Angular,1910,18,73,10,Switch Statements,Critical,Move Method,0,24,12,399,68.05,0.288,5
1329,file_1149.py,Java,Angular,1435,23,35,7,Primitive Obsession,Major,Rename Variable,0,8,6,239,85.45,0.339,7
6319,file_1163.py,Java,Angular,135,39,19,19,Shotgun Surgery,Critical,Extract Method,1,7,27,177,59.8,0.66,4
4993,file_1166.py,Java,Angular,1100,9,38,1,Message Chains,Critical,Rename Variable,1,50,8,110,34.87,0.881,17
9238,file_1169.py,Java,Angular,805,40,44,6,Long Method,Critical,Encapsulate Field,0,15,25,448,70.24,0.715,1
6913,file_1173.py,Java,Angular,113,24,55,7,Large Class,Major,Inline Method,0,10,4,457,95.24,0.985,2
8124,file_1174.py,Java,Flask,1314,16,53,10,Duplicated Code,Major,Split Class,1,30,26,236,41.96,0.022,8
5232,file_1180.py,Java,React,859,35,43,8,Switch Statements,Major,Remove Dead Code,1,57,22,32,42.41,0.95,11
4042,file_1188.py,Java,Angular,1099,7,8,7,God Class,Major,Remove Dead Code,0,38,13,182,97.03,0.354,9
1614,file_1192.py,Java,Spring,1987,31,54,4,Switch Statements,Minor,Move Method,0,7,27,248,34.39,0.798,6
5278,file_1201.py,Java,Angular,626,17,78,15,Speculative Generality,Minor,Split Class,0,22,5,89,36.16,0.792,14
9230,file_1203.py,Java,Django,1840,42,4,18,Feature Envy,Major,Introduce Parameter Object,0,8,9,47,76.39,0.427,3
7640,file_1205.py,Java,Django,644,10,27,1,Dead Code,Critical,Replace Conditional with Polymorphism,0,6,24,416,19.83,0.655,18
1545,file_1213.py,Java,Spring,306,18,51,2,Primitive Obsession,Minor,Replace Conditional with Polymorphism,1,28,8,62,10.69,0.508,19
8206,file_1216.py,Java,Django,1102,13,45,17,Duplicated Code,Critical,Introduce Parameter Object,0,24,27,431,48.25,0.062,18
3032,file_1217.py,Java,Spring,1083,9,41,14,Duplicated Code,Minor,Move Method,1,42,11,153,14.28,0.38,10
1271,file_1219.py,Java,,726,47,5,17,Switch Statements,Major,Encapsulate Field,1,32,27,466,28.83,0.193,6
4430,file_1226.py,Java,React,715,23,33,15,Large Class,Critical,Encapsulate Field,0,44,26,297,35.19,0.22,11
3033,file_1232.py,Java,Angular,633,36,42,5,Large Class,Critical,Extract Method,1,51,24,110,59.51,0.013,1
9896,file_1238.py,Java,Angular,96,1,59,14,Dead Code,Critical,Extract Class,1,46,21,80,93.39,0.917,5
3632,file_1240.py,Java,,1406,23,34,6,Switch Statements,Critical,Extract Class,1,19,3,312,50.11,0.186,19
9202,file_1248.py,Java,,1467,49,62,12,Inappropriate Intimacy,Major,Remove Dead Code,0,5,21,127,82.03,0.92,18
2868,file_1249.py,Java,Flask,1348,28,26,15,Large Class,Critical,Encapsulate Field,0,39,39,355,76.72,0.241,8
6429,file_1253.py,Java,Spring,1473,16,42,13,Dead Code,Minor,Replace Conditional with Polymorphism,0,41,37,173,78.77,0.758,15
